Fecha;Hora;Día;Nº Incidencia;sitrem;Carretera;MC30;Calzada;Localización;Enlace;Tipo de accidente;Tipo de colisión;Nº Vehículos implicados;Nº Turismos;Nº Motocicletas;Nº vehículos pesados;H.L.;hl;hg;vm;Daños al mobiliario urbano;Circulación;Estado del Firme;Presencia Recursos Externos;Corte Carril;Vertido;Grúa usuario;Grúa Propia EMESA;Grúa Movilidad;Factores Atmosféricos;Visibilidad señalización;Señalización de Peligro;Visibilidad restringida por;Aceras;Árboles;Vehículos denominación;Descripción del accidente;Daños causados al viario;Materiales utilizados;Observaciones
06/01/2016;22:21;;20160106-0021; T-E-ACC-01;M30;08RE75;INTERIOR;Ramal;Túnel;Colisión de vehículos;Lateral;2;1;1;;;1;;;Si;Fluida;Mojado;P. Municipal y SAMUR;Si;Si;Si;No;Si;Lluvia;Buena;;Sin Restricción;;;AIAM VALENCIA;Colisión entre coche y moto. El motorista es trasladado por Samur al Hospitak, la moto se la lleva la grua de movilidad, el coche se lo lleva la grua de su seguro.  Hay derrame de aceite. Lo quitamos con sepi9olita y desengrasante. Queda carril en buen estado.;;;
08/01/2016;6:13;;20160108-0002;C-P-ACC-01;M30;32RA40;INTERIOR;Ramal;Superficie;Salida de vía;Lateral;1;1;;;;0;;;No;Densa;Mojado;P. Municipal;Si;;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Señalizar y cortar carril izquierdo del  32RA por accidente. Salida de via sin daños a patrimonio, ni heridos.;;;
08/01/2016;12:35;;20160108-0009;C-P-ACC-01;M30;08NL90;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Señalizar accidente por alcance en carril izquierdo, sin daños, ni heridos. Policía lo retira al arcen derecho y por orden de Policía lo dejo señalizado con conos en el derecho hasta su grua.;;;
08/01/2016;15:28;;20160108-0014;C-P-ACC-01;M30;19XC40;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;Si;;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM CALDERÓN;Colisión por alcance en tre 2 vehiculos, sin daños al patrimonio, ni personales. Ambos vehiculos no necesitan de nuestr agrua, uno se retira por sus medios y el otro con grua. Somos solicitados por Policía Municipal. ;;;
08/01/2016;15:30;;20160108-0015;C-P-ACC-01;M30;00NC20;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;Densa;Mojado;P. Municipal;No;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;Alcance entre vehiculos em carril central. A mi llegada solo queda uno en arcen derecho, con ayuda de Policía limpio restos em carril central.;;;
08/01/2016;15:47;;20160108-0016;C-P-ACC-01;M30;10NL60;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;3;3;;;No;Congestionada;Seco y Limpio;P. Municipal y SAMUR;Si;;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Aviso de C. Control de colisión por alcance de 3 vehiculos con 3 heridos leves, cortando carril derecho hasta la retriada de estos 2 por grua propia y el tercero por sus medios.;;;
08/01/2016;19:10;;20160108-0020;C-P-ACC-01;M30;09XL90;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;5;5;;;;0;;;No;Densa;Mojado;P. Municipal;Si;;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Colisión de vehiculos por alcance rn carril derecho cortando carril hasta retirada de estos 4 por sus medios y un quinto potr grua propia.;;;
08/01/2016;19:30;;20160108-0021; C-E-ACC-01;M30;24NC00;INTERIOR;Tronco;Superficie;Salida de vía;Frontal;1;1;;;2;2;;;No;Congestionada;Mojado;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;v-2;El patrulla pierde el control choca contra mediana y queda atravesado en carriles derechos. Los dos ocupantes son trasladados por Samur (leve);;;
09/01/2016;0:10;;20160109-0001;C-E-ACC-01;M30;08RT00;EXTERIOR;Ramal;Superficie;Vuelco;;1;1;;;;0;;;Si;Fluida;Mojado;P.M., SAMUR y Bomberos;Si;Si;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Vuelco de vehiculo sin herdios, con daños al patrimonio. Corto ramal;1 final de barrera, 2 barreras, 2 cpns, 1 farola, 1 arqueta, 1 señal direccional;bolsas de servicio;
09/01/2016;0:58;;20160109-0002; C-E-ACC-01;M30;22RE00;EXTERIOR;Ramal;Superficie;Salida de vía;Frontal;1;1;;;;1;;;Si;Fluida;Mojado;P. Municipal y SAMUR;;;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;Aviso del C. Control accidente salida de via recojo restos. Herido trasladado al Clinico. Policía no sabe nº poliza;choque con barandilla, 1 barra rota.;;
09/01/2016;1:30;;20160109-0004;C-E-ACC-01;M30;07RH20;INTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;1;1;;;No;Fluida;Mojado;P. Municipal y SAMUR;Si;;;;;Lluvia;Buena;;Sin Restricción;;;V-1;Señalizo sakida de via con un herido leve. Corto ramal.;;;
09/01/2016;2:36;;20160109-0006;C-P-ACC-01;M30;31NC40;INTERIOR;Tronco;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal;No;;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;Aviso del C. Control accidente. Se da la vuelta al coche (trompo) señalizo arcen derecho.;;;
09/01/2016;6:28;;20160109-0009; T-E-ACC-01;A5;03FL02;SALIDA;Tronco;Túnel;Salida de vía;;1;1;;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;Si;Si;No;Si;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Portugal;Accidente de 1 vehículo por salida de vía impactando contra el hastial derecho, sin causar daños al patrimonio, 1 herido leve dado de alta en el punto por el Samur. El vehículo es cargado en la Plataforma C-10 de Base Calderón para retirarlo del punto, el Híbrido F-11 regresó a la Base de Portugal.;;Sepiolita fina y desengrasante;Se corta el carril derecho desde las 06:35 h hasta las 07:21 h.
09/01/2016;6:50;;20160109-0010;C-P-ACC-01;M30;32RA40;INTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal;;No;No;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía colisionando contra el muro de hormigón sin causarle daños. Sin heridos, la Policía Municipal retira el vehículo accidentado fuera de zona.;;;
09/01/2016;8:17;;20160109-0011;C-E-ACC-01;M30;04RT10;INTERIOR;Ramal;Superficie;Vuelco;;1;1;;;;1;;;No;Fluida;Mojado;P.M., SAMUR y Bomberos;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo volcado en el ramal 04RT. Sin daños al patrimonio y 1 herido sin pronosticar trasladado al Hospital 12 de Octubre.;;;Se corta medio carril del ramal 04RT desde las 08:25 h hasta las 09:15 h.
09/01/2016;8:25;;20160109-0012;C-P-ACC-01;M30;24NC00;INTERIOR;Tronco;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal;Si;No;No;No;Si;Lluvia;Buena;;Sin Restricción;;;V-2;Accidente de 1 vehículo por salida de vía, este se encuentra sin ocupantes y ocupando el carril derecho. Sin heridos ni daños al patrimonio.;;;Se corta el carril derecho desde las 08:36 h hasta las 09:05 h.
09/01/2016;8:54;;20160109-0014; C-E-ACC-01;A2;05AL80;SALIDA;Tronco;Superficie;Vuelco;;1;1;;;1;1;;;No;Densa;Mojado;P. Municipal, SAMUR, G. Civil y Bomberos;Si;Si;Si;No;No;Lluvia;Buena;;Fac. Atmosféricos;;;AIAM Mendez Alvaro;Accidente de 1 vehículo volcado en el carril izquierdo, sin daños al patrimonio y 1 herido leve dado de alta en el punto por el Samur. Se limpia la calzada y el vehículo accidentado es retirado por su grúa.;;Sepiolita fina;Los AIAM de Base Méndez Alvaro limpian con los Bomberos el vertido de líquidos.
09/01/2016;9:40;;20160109-0017;;M30;32RJ40;EXTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal;No;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía, roza el muro de hormigón y se queda parado ocupando el arcén derecho. Sin daños al patrimonio ni heridos.;;;
09/01/2016;10:20;;20160109-0018;C-E-ACC-01;M30;32RA30;INTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal y Bomberos;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por salida de vía, este colisiona contra el muro de hormigón y se queda parado en el carril derecho. Sin daños al patrimonio ni heridos.;;2 Bolsas;Se corta el carril derecho desde las 10:31 h hasta las 11:20 h.
09/01/2016;21:10;;20160109-0028; C-E-ACC-01;M30;07NL90;INTERIOR;VS;Superficie;Colisión de vehículos;Lateral;3;3;;;1;1;;;No;Fluida;Mojado;P. Municipal y SAMUR;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V1;Colisión de vehículos con herido leve dado de alta en el lugar y sin daños en carril izquierdo. Policía le pasa a arcén derecho. Corto parte de salida de ramal.;;;
10/01/2016;7:24;;20160110-0004;C-P-ACC-01;M30;12RJ80;EXTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;;;;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía, arrancando señal y farola, daños fuera de zona, se señaliza por seguridad. No hay ocupantes. El vigilante se retira y Policía Municipal se hace cargo de la incidencia.;1 Farola, 1 señal y su poste.;;
10/01/2016;11:31;;20160110-0006;C-P-ACC-01;M30;32RJ30;EXTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Mojado;P. Municipal y Bomberos;Si;No;No;No;Si;Lluvia;Buena;;Sin Restricción;;;V-2;Accidente de 1 vehículo por salida de vía quedandose encima del muro de hormigón y ocupando el carril izquierdo. Se señaliza con Policía Municipal.;;;Se corta el carril izquierdo desde las 11:41 h hasta las 12:45 h.
10/01/2016;12:15;;20160110-0007;C-P-ACC-01;M30;20XC00;EXTERIOR;Tronco;Superficie;Salida de vía;;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía causando daños en barreras.;4 Barreras y 3 CPNs.;;Se corta el carril derecho desde las 12:30 h hasta las 13:00 h.
10/01/2016;13:48;;20160110-0009;C-P-ACC-01;M30;12RR10;EXTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía.;1 Bañera y 4 Hitos.;;
10/01/2016;14:30;;20160110-0010; C-E-ACC-01;M30;32RJ30;EXTERIOR;Ramal;Superficie;Vuelco;;1;1;;;;1;;;No;Fluida;Mojado;P.M., SAMUR y Bomberos;Si;Si;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por vuelco en el carril izquierdo, se señaliza junto con Policía Municipal.;;5 Kg de Sepiolita gruesa y 3 Bolsas.;Se corta el carril izquierdo desde las 14:40 h hasta las 15:45 h.
10/01/2016;14:15;;20160110-0011;C-P-ACC-01;M30;12RR20;EXTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Mojado;;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía. Sin daños al patrimonio.;;;Se corta el carril derecho desde las 14:15 h hasta las 14:38 h.
10/01/2016;21:25;;20160110-0012;C-P-ACC-01;M30;32RJ00;EXTERIOR;Ramal;Superficie;Colisión de vehículos;Por alcance;2;2;;;;;;;No;Fluida;Mojado;;;;;;;Lluvia;Buena;;Sin Restricción;;;V-2;Colisión de vehículos en carril central. No datos, al llegar al punto los vehículos están reanudando la marcha.;;;
10/01/2016;16:33;;20160110-0016;;M30;14RC04;INTERIOR;Ramal;Túnel;Salida de vía;;1;1;;;;0;;;Si;;;;No;No;;;;;;;;;;AIAM Calderón (Rondas);Accidente de 1 vehículo por salida de vía, impactando contra el bordillo del hastial derecho y dejandolo marcado.;;;
10/01/2016;17:15;;20160110-0018;C-E-ACC-01;M30;20RA20;INTERIOR;Ramal;Superficie;Otros;;1;;1;;;1;;;No;Densa;Mojado;P. Municipal y SAMUR;Si;No;;;;Lluvia;Buena;;Sin Restricción;;;V-2;Accidente de 1 motorista por caida debido al agua en calzada al frenar, este fue trasladado por el Samur a la Clinica de Asepeyo antes de la llegada del vigilante.;;;Se corta el carril derecho desde las 17:31 h hasta las 18:05 h.
10/01/2016;18:00;;20160110-0020;C-P-ACC-01;M30;32RA00;INTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;1;;;No;Congestionada;Mojado;P. Municipal y SAMUR;Si;No;;;;Lluvia;Buena;;Sin Restricción;;;V-1;Slida de vía de vehículo, cuando llego está policía, 1 herido trasladado, corto carril izquierdo.;;;
10/01/2016;18:13;;20160110-0023;C-P-ACC-01;M30;20RA20;INTERIOR;Ramal;Superficie;Otros;;1;;1;;1;1;;;No;Fluida;Mojado;P. Municipal y SAMUR;No;No;No;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;sale por sus medios.;;;
10/01/2016;18:58;;20160110-0025;C-P-ACC-01;M607;08OT70;ENTRADA;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Densa;Mojado;P. Municipal;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-2;Aviso del Centro de control accidente carril izquierdo, cortamos 2 carriles izquierdos, a mi llegada solo hay un vehículo.;;;
