,Tipo de accidente,Descripción del accidente
71,Colisión de vehículos,Aviso centro de control de accidente por alcance entre 2 vehículos. Policía Municipal solicita Samur para atender a 1 herido leve que finalmente es dado de alta en el punto.
72,Vuelco,"Aviso de accidente de 1 vehículo, se trata de un remolque volcado, este es recolocado y cargado en la Plataforma C-10 de Base Calderón para sacarlo al exterior. El Furgón del remolque se retira por sus medios. Sin heridos."
73,Salida de vía,"Accidente de 1 motorista por salida de vía y caída en calzada, es atendido por el Samur y trasladado al Hospital 12 de octubre herido leve. La motocicleta es sacada por Policía Municipal fuera de límites. "
74,Otros,Accidente de 1 motorista por caída cuando frena. Se señaliza en el arcén derecho hasta que dicho motorista se retira del punto por sus medios. 
75,Salida de vía,Accidente de 1 vehículo por salida de via colisionando contra las barreras causando daños en ellas. Sin heridos.
76,Colisión de vehículos,"Vehículo colisiona contra vehículo de señalización F63, en lateral izquierdo, dandose a la fuga no pudiendo coger datos"
77,Colisión de vehículos,"Aviso del centro de control de un accidente por alcance entre 3 vehículos, se corta parte del carril derecho. 2 heridos con pronostico reservado trasladados al Hospital 12 de Octubre."
78,Salida de vía,"Accidente de 1 vehículo por salida de vía colisionando contra valla causado daños, sin heridos."
79,Salida de vía,Accidente de 1 vehículo por salida ocupando el carril izquierdo después de colisionar contra el muro de hormigón. Sin daños al patrimonio. 1 herido leve dado de alta en el punto. Se señaliza la incidencia junto con Policía Municipal.
80,Colisión de vehículos,Accidente entre 3 vehículos por alcance que se encuentran ocupando el carril izquierdo y el derecho. 1 herido leve dado de alta en el punto por el Samur. El vigilante y la Guardia Civil trasladan todos los vehículos al carril derecho.
81,Colisión de vehículos,Accidente entre 3 vehículos por alcance. Sin daños al patrimonio ni heridos.
82,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo. Sin daños al patrimonio ni heridos. Uno de los vehículos se retira por sus medios y el otro es sacado por la Plataforma C-10 de Base Calderón.
83,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo. Sin daños al patrimonio ni heridos. Ambos vehículos son retirados del punto por sus grúas.
84,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril derecho. 1 herido sin pronosticar trasladado al hospital por el Samur. Sin daños al patrimonio.
85,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el arcén derecho. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran del punto por sus medios.
86,Colisión de vehículos,"Accidente de un motorista que impacta contra la parte trasera de un turismo en el carril izquierdo. El motorista fallece despues de que el Samur intentara reanimarle. Se persona en el punto: Jefe de Samur 8008, Policía Judicial, Jefe de Atestados, ITE, Jefe de Turno y el Coordinador de los AIAM."
87,Colisión de vehículos,"Accidente entre 3 vehículos por alcance, Policía Municipal los traslada a la isleta izquierda. Sin heridos ni daños al patrimonio. Dos de los vehículos implicados se retiran por sus medios y el Híbrido de los AIAM saca al exterior al tercer vehículo."
88,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, sin heridos ni daños al patrimonio. Se corta parte del carril derecho hasta que ambos vehículos se retiran del punto por sus medios."
89,Colisión de vehículos,Colisión por alcance con heridos. Se corta carril izquierdo hasta que SAMUR atienda a usuaria de vehículo 1 (leve) y traslada al Hospital (no sabemos a cual). Ambos vehículos salen con la grúa propia
90,Colisión de vehículos,"Colisión de vehñiculos sin heridos ni daños. A mi llegada el vehículo está con Policía en carril derecho con solo 1 vehículo, el otro abandona por sus medios. Corto carril derecho hasta retirada en grúa propia. "
91,Colisión de vehículos,Señalizar vehículos en carril central y después en arcén derecho. Herido leve trasladado al Hospital
92,Colisión de vehículos,"Colisión de vehículos en carril derecho, con heridos. Corte de carril derecho y transfer 07CC"
93,Salida de vía,"Accidente salida de vía, en lado izqierdo con daños al patrimonio recojo restos"
94,Colisión de vehículos,2vehiculos colisionan por alcance y salen por sus medios.
95,Colisión de vehículos,Colisión de 2 vehiculd en carril izq. Policia los traslada a arcen derecho.
96,Colisión de vehículos,"Colisión alcance, sin heridos ni daños, carril derecho, vehiculo 1 abandona por sus medios, vehiculos 2 grua propia."
97,Colisión de vehículos,Colisión de vehiculos en carril izquierdo. Sin heridos.
98,Colisión de vehículos,"Salida de via de motorista carril derecho. Al caer la moto golpea vehiculo. A mi llegada encuentro a 2 vehiculos, carril derecho, corto 2 cariles derechos, a espera de Samur, que atiende y traslada al Gregorio marañon (leve)"
99,Colisión de vehículos,"Aviso: colisión de vehiculos sin daños, ni heridos."
100,Colisión de vehículos,"Colisión alcance arcen derecho, sin heridos ni daños, corto 1/4 carril derecho, hasta retirada de estos por sus medios una vez intercambian datos."
101,Colisión de vehículos,Colisión de vehiculos carril central. Los retiroa al arcen derecho. Herido trasladado por Samur.
102,Colisión de vehículos,"Colisión de vehiculos arcen derecho,  a mi llegafa solo hay 1 vehiculo, sin heridos ni daños, corto 1/4 carril derecho, hasta retirada de este en grua propia."
103,Colisión de vehículos,C
104,Colisión de vehículos,S
105,Salida de vía,"Señalizar accidente, salida de via, con daños al patrimonio, sin heridos, cortando cariles centrales. La bañera y el hito lo reparamos"
106,Colisión de vehículos,Aviso C. Control accidente por alcance cortando carril derecho. Junto con Policía movemos vehiculos mas alente a arcen derecho.
107,Salida de vía,"Accidente de moto sin contrario, Policía lo traslada del PK 9+900 al 9+600, el herido es trasladado al Gregorio Marañon."
108,Salida de vía,Encuentro coche en carril derecho metido en la barrera despues de darse contra el muro.
109,Colisión de vehículos,"Colisión vehiculos por alcance, salen por sus medios. Recogemos cristales y volvemos a base."
110,Salida de vía,"Vehiculo colisiona con bordillo, lo sacamos al exterior en plataforma C.10"
111,Salida de vía,Salida de via con resultado de vuelco. Se corta carril derecho hasta que SAMUR atiende a usuario dando de alta en punto. Policía solicita presencia de baldeadora para baldear todo el ramal. Vehículo grúa propia
112,Salida de vía,Encuentro coche cruzado en el carril después de darse contra la barandilla
113,Salida de vía,Accidente sin heridos en carril derecho
114,Salida de vía,"Vehículo averiado, lo sacamos al exterior en la C-10. el vehículo se golpea con el bordillo, sin daños"
115,Colisión de vehículos,Accidente sin heridos en carril derecho
116,Salida de vía,Señalizar vehículo en arcén derecho
117,Salida de vía,Salida de vía con colisión contra muro en lado derecho. Dejo señalizada a guardia civil a la espera de atestados y me retiro
118,Colisión de vehículos,Señalizar accidente por alcance en arcén derecho
119,Colisión de vehículos,Colisión lateral de 2 vehículos en carril derecho
120,Colisión de vehículos,"Señalizar vehículos en carril derecho. 2 vehículos abandonan por sus medios, el otro es movido por Policía al 09XL70 arcén derecho, señalizo a la espera de grúa."
121,Colisión de vehículos,Señalizar vehículos en carril izquierdo
122,Colisión de vehículos,Colisión en carril central sin daños ni heridos. Policía los retira al carril BUS
123,Colisión de vehículos,Colisión sin daños ni heridos en carril izquierdo
124,Colisión de vehículos,"Accidente por alcance entre 2 vehículos en carril izquierdo, nos comunica el CCT la presencia de Policía. Antes de nuestra llegada nos anulan incidencia; los vehículos salen con Policía al exterior"
125,Colisión de vehículos,Señalizar vehículos en carril derecho
126,Colisión de vehículos,Accidente en carril izquierdo. Herido trasladado al Hospital 12 de Octubre
127,Colisión de vehículos,"Colisión de vehículos, a mi llegada al punto sólo hay 1 vehículo en el mismo con Policía, sin heridos ni daños. Corto medio carril derecho hasta retirada de este con grúa propia"
128,Colisión obstaculo,Al vehículo 2 se le ha soltado la rueda de repuesto y el vehículo ha impactado con ella. No hay heridos ni datos en túnel. Limpiamos unos 50 minutos de aceite con desengrasante y posterior baldeo. Sacamos los dos vehículos a la C/ S. Ambrosio
129,Salida de vía,Aviso de accidente de moto. Señalizamos con BUL. El conductor de la moto es atendido por SAMUR y finalmente lo llevan al Hospital. La moto la sacamos con C-10 y la llevamos al depósito
130,Otros,Caída de motorista en carril izquierdo. Herido leve trasladado
131,Colisión de vehículos,"Accidente en carril derecho, herido trasladado leve"
132,Colisión de vehículos,Accidente en carril derecho. Los vehiculos se retiran por sus medios
133,Colisión de vehículos,Accidente que a la llegada esta Policía. Moto golpea con coche . Vehiculo B moto golpea A. 
134,Otros,Caida de motorista en carriles izquierdos. Es atendido y trasladado por Samur.
135,Colisión de vehículos,Colisión de vehiculos en carril izquierdo. Policía lo pasa a arcen derecho. Cuando llego solo hay un vehiculo.
136,Salida de vía,"Vehículo impacta lateralmente con acera del hastial izquierdo quedando en sentido contrario a la circulación. El conductor dirige el vehículo hasta carril derecho y lo detiene Policía Municipal, le realiza prueba de alcoholemia resultando positiva. Grúa municipal retira el vehículo al deposito municipal El Escuadron. El conductor no sufre daños personales"
137,Colisión de vehículos,"Accidente por alcance, tres vehículos implicados"
138,Colisión de vehículos,Aviso del centro de control accidente carriles centrales. No hay heridos. Corto 2 carriles centrales. Limpio combustible
140,Colisión de vehículos,"Alcance dos vehículos, cuando vamos por el 19XC40 nos anulan incidencia y nos trasladamos al 04FL80, a relevar a Calderón"
141,Colisión de vehículos,"Señalizar accidente en carril central, se pasan arcen derecho."
142,Colisión de vehículos,Señalizar accidente arcen derecho. No hay heridos.
143,Colisión de vehículos,"Colisión de vehiculos en carril central. Retiro los vehiculos al arcen derecho, se toman datos y nos retiramos del punto."
144,Colisión de vehículos,"Accidente en carril derecho, sin heridos. A mi llegada Policía pasa los vehiculos al arcen derecho. Se retiran por sus medios."
145,Colisión de vehículos,"Alcance entre vehiculos en 26RA, uno de ellos se retrira por sus medios."
146,Colisión de vehículos,Accidente en carril izquierdo. Herido leve dado de alta en el punto.
147,Colisión de vehículos,"Colisión de vehiculos por alcance , sin heridos, sin daños. Los saco fuera de zona para haecer parte."
148,Colisión de vehículos,Colisión de vehiculos. 1 herido leve dado de alta an el lugar.
149,Colisión de vehículos,Veo vehiculo parado en carril derecho. Cuando llego me dice que ha sido una colisión y el 1 vehiculo se ha ido´el suyo esta a espera de grua.
150,Colisión de vehículos,Aviso de C. control accidente traslado del herido a Frepma (capitan Haya9
151,Colisión de vehículos,Señalizar los 2 vehiculos que quedaban en carril derecho.
152,Colisión de vehículos,Colisión por alcance entre 2 vehiculos no victima. Salen por sus medios.
153,Colisión de vehículos,"Aviso por alcance entre dos vehículos , reanudan la marcha antes de nuestra llegada. Salida anulada."
154,Colisión de vehículos,Aviso de C. Control accidente carril derecho. Traslado al herido al Gregorio Marañon.
155,Colisión de vehículos,Accidente por alcance con 3 vehiculos implicados. Sin heridos.
156,Colisión de vehículos,Accidente en carril izquierdo.
157,Colisión de vehículos,Accidente. Alcance entre dos vehiculos en carril derecho. El vehiculo 1 sale por túnel por sus medios. Grua f-11 carga el vehiculo 2 y lo pasa al exterior. No se precisa Samur ya que nadie sufre dalos personales.
158,Colisión de vehículos,"Accidente. Alcance entre vehiculo y moto, en carril izquierdo. El vehiculo 1 sale del túnel por sus medios, grua C-10 carga la moto y la sacamos al exterior. Por orden de Policía movemos los dos vehiculos al apartadero del 18RV para proceder a la toma de datos. No se precisa Samur ya que nadie sufre daños personales."
159,Colisión de vehículos,Accidente en carril derecho. 
160,Colisión de vehículos,Colisión por alcance sin heridos. Corto carril izquierdo
161,Colisión de vehículos,"Accidente. Alcance entre 2 vehiculos. A nuestra llegada los dos vehiculos se retiran del apartadero izquierdo del ramal 18RN. No hay toma de datos ni fotos, debido a que no quieren parar."
162,Colisión de vehículos,"Señalizar accidente carril izquierdo, por alcance."
163,Otros,"Caida de motorista con 2 ocupantes, a mi llegada Samur y Policia en punto, con arcen derecho cortado y medio carril derecho, hasta que Samur atiende a 2 usuarios moto y traslada al Gregorio Marañon leves y la moto es retirada en grua propisa."
164,Colisión de vehículos,Colisión de 4 vehiculos en carril derecho.
165,Colisión de vehículos,"Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril derecho, sin heridos ni daños al patrimonio."
166,Colisión de vehículos,"Accidente entre 3 vehiculos por alcance ocupando el carril derecho y causando daños al patrimonio. Dos heridos, uno de ellos grave trasladado al Hospital 12 de octubre."
167,Salida de vía,Salida del vehiculo sin daños al mobiliario y sin heridos. Lo sacamos al exterior con plataforma. Cortamos carril izquierdo.
168,Colisión de vehículos,"Accidente entre un turismo y un motorista por alcance, ocupan el carril derecho, Samur atiende al motorista, este es trasladado con pronostico reservado al Hospital Gregorio Marañon. La motocicleta implicada es retirada por la grúa de movilidad y el turismo por sus medios. Sin daños al patrimonio."
169,Colisión de vehículos,"Accidente entre un turismo y un motorista por alcance, ocupan el carril derecho. Sin heridos ni daños al patrimonio."
170,Colisión de vehículos,"Accidente entre 3 vehículos por alcance y que se encuentran ocupando el carril izquierdo, a las 16:30 son trasladados al arcen derecho. Sin heridos ni daños al patrimonio."
171,Colisión de vehículos,"Accidente entre 3 vehículos por alcance, se encuentran ocupando el carril derecho. 1 herido sin pronosticar es trasladado por el Samur al Hospital 12 de Ocubre."
172,Salida de vía,Accidente de un vehículo por salida de vía quedandose parado en el carril central. Sin heridos ni daños al patrimonio.
173,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, ocupan el carril derecho. Sin heridos ni daños al patrimonio."
174,Colisión de vehículos,Accidente entre 3 vehículos por alcance en el carril central. Sin daños al patrimonio y 2 heridos leves trasladados al Hospital Gregorio Marañon. Dos vehículos son retirados en sus grúas y el tercero por sus medios.
175,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, se corta parte del carril derecho. Sin daños al patrimonio ni heridos, ambos vehículos son retirados por sus grúas."
176,Colisión de vehículos,"Colisión alcance , 2 vehiculos, sin heridos, n idaños, carril derecho se corta 1/2 carril derecho hasta retirada de estos. Vehiculo 1 grua propia, vehiculo 2 por sus medios, una vez su asistencia pone arrancador de bateria."
177,Colisión de vehículos,"Alcance entre 3 vehiculos en 14NL56, el vehiculo 1 sale por sus medios, los vehiculos 2 y 3 son sacados por nuestras gruas. El vehiculo para en apartadero 14NL90."
178,Salida de vía,"Según Policía pierde el control y se caen, 2 heridos, 2 trasladados sin pronostico."
179,Colisión de vehículos,Accidente en carril central 82 carriles 19:05 retriamos vehiculos al carril derecho 1 carril cortado) accidente sin heridos.
180,Colisión de vehículos,"Accidente en isleta, haciendo el corte los vehículos se retiran, no me da tiempo a tomar datos."
181,Colisión de vehículos,Señalizo accidente en isleta.
182,Colisión de vehículos,Señalizar vehiculo del accidente en el carril izqd. Se retiran restos del accidente. Bomberos acude ha desencajar 2 vehiculos.
183,Colisión obstaculo,"Vehículo 1 pierde carga, colchón, y vehículo 2colisiona contra dicha carga , sin daños aparentes"
184,Colisión de vehículos,"olisión de vehículos por alcance, con tres vehículos implicados. A nuestra llegada se encuentra en el punto PM. Tres de las personas implicadas son tratadas por SAMUR. Sacamos los tres vehículos al exterior."
185,Colisión de vehículos,"Colisión de turismo y moto en ramal de entrada. Corte de 09RL, herido trasladado por SAMUR, sin pronosticar al Ramón y Cajal"
186,Colisión de vehículos,"Señalizar accidente por alcance en carril derecho sin daños al patrimonio. Sin heridos, los vehículos 2 y 3 se retiran por sus medios."
187,Colisión de vehículos,"Señalizar accidente por alcance, en carril derecho. Sin daños al patrimonio y con heridos en carril derecho"
188,Colisión de vehículos,"Accidente por alcance, corto carril derecho, solo queda un vehículo en el punto"
189,Colisión de vehículos,"Señalizar accidente por alcance en carril derecho, sin daños al patrimonio y con un herido leve dado de alta en el lugar . El vehículo 2 se retira por sus medios"
190,Colisión de vehículos,Accidente en carril izquierdo
191,Colisión de vehículos,corto carril derecho por accidente
192,Colisión de vehículos,"señalizar vehículos accidentados, en carril izquierdo. Se limpian restos de aceite"
193,Salida de vía,"Voy por tronco c/i y veo en v/s c/i salida de via carril izquierdo, paro en arcend derecho, cortando carril izquierdo v/s, sin heridos con daños, 6.30 Policia corta trafico v/s pasamso vehiculos carril derecho"
194,Colisión de vehículos,"Accidente dos vehiculos por alcance se llama  a Samur por niño con dolores cervicales, pero no tiene nada. Se paana arcen derecho con Policía. Se marchan por sus propios medios."
195,Colisión de vehículos,"Señalizar accidente por alcance sin daños a patrimonio, n i heridos, cortando carril dercho."
196,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, ocupando el carril derecho. Sin heridos ni daños al patrimonio."
197,Salida de vía,"accidente. Coche pierde el contro e impacata contra el bordillo, de hastial derecho. El conductor no sufre daños personales. No se activa SAMUR, cargamos con grúa C10 y sacamos al exterior. F11 se retira a base a las 04:42"
198,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, ocupando el carril derecho. Sin heridos ni daños al patrimonio. El vigilante los saca fuera de zona y ambos vehículos se retiran por sus medios."
199,Salida de vía,"Accidente de 1 vehículo por salida quedandose parado en el carril izquierdo, sin heridos y con daños al patrimonio en barreras."
200,Colisión de vehículos,"Accidente por colision entre 3 turismos y 1 motorista, este resulta herido leve y trasladado al Hospital de la Princesa."
201,Colisión de vehículos,Accidente por colision entre 2 vehículos que se encuentran ocupando el carril derecho. 1 herido sin pronosticar trasladado por el Samur al hospital. Uno de los vehículos se retira por sus medios y el otro en su grúa.
202,Colisión de vehículos,"Accidente por colision entre 2 vehículos con rellerta, 4 ocupantes heridos leves, de ellos 2 son dados de alta en el punto y los otros 2 son trasladados por el Samur al hospital."
203,Salida de vía,"Accidente de 1 vehículo por salida de vía, colisiona contra el muro sin causar daños al patrimonio ni heridos. "
204,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril central, posteriormente son retirados del punto por sus medios quedandose fuera de límites. Sin heridos ni daños al patrimonio."
205,Colisión de vehículos,"Accidente entre 4 vehículos por alcance ocupando el carril derecho, 1 herido leve dado de alta en el punto. Se realiza limpieza de calzada."
206,Colisión de vehículos,"Accidente entre 5 vehículos por alcance ocupando el carril central, sin heridos ni daños al patrimonio. 3 de los vehículos implicados se retiran por sus medios."
207,Colisión de vehículos,"Accidente entre 3 vehículos por alcance ocupando el carril derecho, 1 herido leve dado de alta en el punto. Uno de los vehículos implicados se dio a la fuga."
208,Colisión de vehículos,"Accidente entre 3 vehículos por alcance ocupando el carril izquierdo con G. Civil presente en el punto, posteriormente son trasladados al arcén derecho por Policía Municipal, 1 herido sin pronosticar trasladado al Hospital Ramon y Cajal."
209,Colisión de vehículos,COLISION POR ALCANCE
210,Colisión de vehículos,Accidente entre 2 vehículos que se encuentran ocupando el arcén derecho junto con Policía Municipal mientras los conductores toman datos para posteriormente retirarse por sus medios. Sin heridos ni daños al patrimonio.
