Unnamed: 0,Tipo de accidente,Descripción del accidente,preprocessed_text
11,Vuelco,"Accidente de 1 vehículo por salida de vía con resultado de vuelco en el carril derecho de acceso desde el ramal 05RH, este queda cortado junto con el carril derecho de la vía de servicio. 1 herido leve trasladado por el Samur al Hospital Ramon y Cajal. Con daños al patrimonio.","['accidente', '1', 'vehiculo', 'salida', 'via', 'resultado', 'vuelco', 'carril', 'derecho', 'acceso', 'ramal', '05rh', 'queda', 'cortado', 'carril', 'derecho', 'via', 'servicio', '1', 'herido', 'leve', 'trasladado', 'samur', 'hospital', 'ramon', 'cajal', 'daños', 'patrimonio']"
12,Salida de vía,Accidente de 1 vehículo por salida de vía que termina colisionando contra el muro de hormigón del lado izquierdo. Sin daños al patrimonio ni heridos. El vehículo se queda parado en el arcén derecho.,"['accidente', '1', 'vehiculo', 'salida', 'via', 'termina', 'colisionando', 'muro', 'hormigon', 'izquierdo', 'daños', 'patrimonio', 'heridos', 'vehiculo', 'queda', 'parado', 'arcen', 'derecho']"
13,Salida de vía,Accidente de 1 vehículo por salida de vía hacia el jardín. Sin daños al patrimonio ni heridos. Se corta 1/4 del lado derecho del carril unico del ramal hasta que dicho vehículo es retirado por su grúa.,"['accidente', '1', 'vehiculo', 'salida', 'via', 'jardin', 'daños', 'patrimonio', 'heridos', 'corta', '14', 'derecho', 'carril', 'unico', 'ramal', 'vehiculo', 'retirado', 'grua']"
14,Colisión de vehículos,"Accidente entre 1 turismo y 1 autobús por alcance, se encuentran ocupando el transfer 01CC. 1 herido leve trasladado al hospital por el SUMMA.","['accidente', '1', 'turismo', '1', 'autobus', 'alcance', 'encuentran', 'ocupando', 'transfer', '01cc', '1', 'herido', 'leve', 'trasladado', 'hospital', 'summa']"
15,Salida de vía,Corto carril izquierdo por accidente.,"['corto', 'carril', 'izquierdo', 'accidente']"
16,Colisión de vehículos,Señalizar vehiculos en arcen derecho.,"['señalizar', 'vehiculos', 'arcen', 'derecho']"
17,Salida de vía,Acudimos con Bul y C10. la C-10 es reenviada a otro punto y esperamos el hibrido para retirar el vehicuki a Sta. M. Cabeza. No Samur,"['acudimos', 'bul', 'c10', 'c10', 'reenviada', 'punto', 'esperamos', 'hibrido', 'retirar', 'vehicuki', 'cabeza', 'samur']"
18,Colisión de vehículos,Colisión de vehiculos a la llegada solo existe el coche Golf que golpeo con Bus.,"['colision', 'vehiculos', 'llegada', 'coche', 'golf', 'golpeo', 'bus']"
19,Salida de vía,Sale de via chocando contra muro y queda inmovil en margen arcen.,"['sale', 'via', 'chocando', 'muro', 'queda', 'inmovil', 'margen', 'arcen']"
20,Colisión de vehículos,Señalizar vehiculos en carril izquierdo.,"['señalizar', 'vehiculos', 'carril', 'izquierdo']"
21,Colisión de vehículos,Aviso C. Control de accidente. 1 herido trasladado leve. Daños ala patrimonio. Cuando llego solo hay un vehiculo. Corto carril.,"['aviso', 'control', 'accidente', '1', 'herido', 'trasladado', 'leve', 'daños', 'ala', 'patrimonio', 'llego', 'vehiculo', 'corto', 'carril']"
22,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, uno de ellos se dio a la fuga. 4 heridos sin pronosticar trasladados por el Samur al hospital. Con daños al patrimonio en barreras.","['accidente', '2', 'vehiculos', 'alcance', 'fuga', '4', 'heridos', 'pronosticar', 'trasladados', 'samur', 'hospital', 'daños', 'patrimonio', 'barreras']"
23,Salida de vía,"Accidente de 2 vehículos por salida de vía lateral hacía el muro de hormigon, sin daños al patrimonio. 1 herido leve dado de alta en el punto. Conservación corta el ramal.","['accidente', '2', 'vehiculos', 'salida', 'via', 'lateral', 'muro', 'hormigon', 'daños', 'patrimonio', '1', 'herido', 'leve', 'alta', 'punto', 'conservacion', 'corta', 'ramal']"
24,Colisión de vehículos,Accidente entre 4 vehículos en el carril central. 1 herido leve y sin daños al patrimonio.,"['accidente', '4', 'vehiculos', 'carril', 'central', '1', 'herido', 'leve', 'daños', 'patrimonio']"
25,Salida de vía,Accidente de 1 motorista por salida de vía que resulta herido y trasladado al Hospital Concepción sin pronosticar. Con daños al patrimonio en una Bañera. Se corta el carril derecho y el transfer 07CC hasta la retirada de la motocicleta en la grúa de movilidad.,"['accidente', '1', 'motorista', 'salida', 'via', 'resulta', 'herido', 'trasladado', 'hospital', 'concepcion', 'pronosticar', 'daños', 'patrimonio', 'bañera', 'corta', 'carril', 'derecho', 'transfer', '07cc', 'retirada', 'motocicleta', 'grua', 'movilidad']"
26,Colisión de vehículos,Accidente multiple en carril central. Policía saca vehiculos al ramal 12RA. Señalizo en arcen derecho.,"['accidente', 'multiple', 'carril', 'central', 'policia', 'saca', 'vehiculos', 'ramal', '12ra', 'señalizo', 'arcen', 'derecho']"
27,Colisión de vehículos,"Aviso de C. Control de colisión por alcance an carril izquierdo cortando carril hasta que Policía los pasa al arcen derecho, cortando parte del carril derecho hasta la retirada de estos por su grua y el tercero por sus medios.","['aviso', 'control', 'colision', 'alcance', 'an', 'carril', 'izquierdo', 'cortando', 'carril', 'policia', 'pasa', 'arcen', 'derecho', 'cortando', 'carril', 'derecho', 'retirada', 'grua', 'tercero', 'medios']"
28,Colisión de vehículos,"Aviso de C. Control  de colisión por alcance de 3 vehiculos en carril izquierdo cortando carril hasta retirada de estos por grua propia. 3 herifos, 2 de ellos dados de alta y un tercero trasladado (La Paz)","['aviso', 'control', 'colision', 'alcance', '3', 'vehiculos', 'carril', 'izquierdo', 'cortando', 'carril', 'retirada', 'grua', '3', 'herifos', '2', 'dados', 'alta', 'tercero', 'trasladado', 'paz']"
29,Colisión de vehículos,"Colisión entre coche y moto. El motorista es trasladado por Samur al Hospitak, la moto se la lleva la grua de movilidad, el coche se lo lleva la grua de su seguro.  Hay derrame de aceite. Lo quitamos con sepi9olita y desengrasante. Queda carril en buen estado.","['colision', 'coche', 'moto', 'motorista', 'trasladado', 'samur', 'hospitak', 'moto', 'grua', 'movilidad', 'coche', 'grua', 'seguro', 'derrame', 'aceite', 'quitamos', 'sepi9olita', 'desengrasante', 'queda', 'carril']"
30,Salida de vía,"Señalizar y cortar carril izquierdo del  32RA por accidente. Salida de via sin daños a patrimonio, ni heridos.","['señalizar', 'cortar', 'carril', 'izquierdo', '32ra', 'accidente', 'salida', 'via', 'daños', 'patrimonio', 'heridos']"
31,Colisión de vehículos,"Señalizar accidente por alcance en carril izquierdo, sin daños, ni heridos. Policía lo retira al arcen derecho y por orden de Policía lo dejo señalizado con conos en el derecho hasta su grua.","['señalizar', 'accidente', 'alcance', 'carril', 'izquierdo', 'daños', 'heridos', 'policia', 'retira', 'arcen', 'derecho', 'orden', 'policia', 'dejo', 'señalizado', 'conos', 'derecho', 'grua']"
32,Colisión de vehículos,"Colisión por alcance en tre 2 vehiculos, sin daños al patrimonio, ni personales. Ambos vehiculos no necesitan de nuestr agrua, uno se retira por sus medios y el otro con grua. Somos solicitados por Policía Municipal. ","['colision', 'alcance', 'tre', '2', 'vehiculos', 'daños', 'patrimonio', 'personales', 'vehiculos', 'necesitan', 'nuestr', 'agrua', 'retira', 'medios', 'grua', 'solicitados', 'policia', 'municipal']"
33,Colisión de vehículos,"Alcance entre vehiculos em carril central. A mi llegada solo queda uno en arcen derecho, con ayuda de Policía limpio restos em carril central.","['alcance', 'vehiculos', 'em', 'carril', 'central', 'llegada', 'queda', 'arcen', 'derecho', 'ayuda', 'policia', 'limpio', 'restos', 'em', 'carril', 'central']"
34,Colisión de vehículos,"Aviso de C. Control de colisión por alcance de 3 vehiculos con 3 heridos leves, cortando carril derecho hasta la retriada de estos 2 por grua propia y el tercero por sus medios.","['aviso', 'control', 'colision', 'alcance', '3', 'vehiculos', '3', 'heridos', 'leves', 'cortando', 'carril', 'derecho', 'retriada', '2', 'grua', 'tercero', 'medios']"
35,Colisión de vehículos,Colisión de vehiculos por alcance rn carril derecho cortando carril hasta retirada de estos 4 por sus medios y un quinto potr grua propia.,"['colision', 'vehiculos', 'alcance', 'rn', 'carril', 'derecho', 'cortando', 'carril', 'retirada', '4', 'medios', 'quinto', 'potr', 'grua']"
36,Salida de vía,El patrulla pierde el control choca contra mediana y queda atravesado en carriles derechos. Los dos ocupantes son trasladados por Samur (leve),"['patrulla', 'pierde', 'control', 'choca', 'mediana', 'queda', 'atravesado', 'carriles', 'derechos', 'ocupantes', 'trasladados', 'samur', 'leve']"
37,Vuelco,"Vuelco de vehiculo sin herdios, con daños al patrimonio. Corto ramal","['vuelco', 'vehiculo', 'herdios', 'daños', 'patrimonio', 'corto', 'ramal']"
38,Salida de vía,Aviso del C. Control accidente salida de via recojo restos. Herido trasladado al Clinico. Policía no sabe nº poliza,"['aviso', 'control', 'accidente', 'salida', 'via', 'recojo', 'restos', 'herido', 'trasladado', 'clinico', 'policia', 'nº', 'poliza']"
39,Salida de vía,Señalizo sakida de via con un herido leve. Corto ramal.,"['señalizo', 'sakida', 'via', 'herido', 'leve', 'corto', 'ramal']"
40,Salida de vía,Aviso del C. Control accidente. Se da la vuelta al coche (trompo) señalizo arcen derecho.,"['aviso', 'control', 'accidente', 'vuelta', 'coche', 'trompo', 'señalizo', 'arcen', 'derecho']"
41,Salida de vía,"Accidente de 1 vehículo por salida de vía impactando contra el hastial derecho, sin causar daños al patrimonio, 1 herido leve dado de alta en el punto por el Samur. El vehículo es cargado en la Plataforma C-10 de Base Calderón para retirarlo del punto, el Híbrido F-11 regresó a la Base de Portugal.","['accidente', '1', 'vehiculo', 'salida', 'via', 'impactando', 'hastial', 'derecho', 'causar', 'daños', 'patrimonio', '1', 'herido', 'leve', 'alta', 'punto', 'samur', 'vehiculo', 'cargado', 'plataforma', 'c10', 'base', 'calderon', 'retirarlo', 'punto', 'hibrido', 'f11', 'regreso', 'base', 'portugal']"
42,Salida de vía,"Accidente de 1 vehículo por salida de vía colisionando contra el muro de hormigón sin causarle daños. Sin heridos, la Policía Municipal retira el vehículo accidentado fuera de zona.","['accidente', '1', 'vehiculo', 'salida', 'via', 'colisionando', 'muro', 'hormigon', 'causarle', 'daños', 'heridos', 'policia', 'municipal', 'retira', 'vehiculo', 'accidentado', 'zona']"
43,Vuelco,Accidente de 1 vehículo volcado en el ramal 04RT. Sin daños al patrimonio y 1 herido sin pronosticar trasladado al Hospital 12 de Octubre.,"['accidente', '1', 'vehiculo', 'volcado', 'ramal', '04rt', 'daños', 'patrimonio', '1', 'herido', 'pronosticar', 'trasladado', 'hospital', '12', 'octubre']"
44,Salida de vía,"Accidente de 1 vehículo por salida de vía, este se encuentra sin ocupantes y ocupando el carril derecho. Sin heridos ni daños al patrimonio.","['accidente', '1', 'vehiculo', 'salida', 'via', 'ocupantes', 'ocupando', 'carril', 'derecho', 'heridos', 'daños', 'patrimonio']"
45,Vuelco,"Accidente de 1 vehículo volcado en el carril izquierdo, sin daños al patrimonio y 1 herido leve dado de alta en el punto por el Samur. Se limpia la calzada y el vehículo accidentado es retirado por su grúa.","['accidente', '1', 'vehiculo', 'volcado', 'carril', 'izquierdo', 'daños', 'patrimonio', '1', 'herido', 'leve', 'alta', 'punto', 'samur', 'limpia', 'calzada', 'vehiculo', 'accidentado', 'retirado', 'grua']"
46,Salida de vía,"Accidente de 1 vehículo por salida de vía, roza el muro de hormigón y se queda parado ocupando el arcén derecho. Sin daños al patrimonio ni heridos.","['accidente', '1', 'vehiculo', 'salida', 'via', 'roza', 'muro', 'hormigon', 'queda', 'parado', 'ocupando', 'arcen', 'derecho', 'daños', 'patrimonio', 'heridos']"
47,Salida de vía,"Accidente de 1 vehículo por salida de vía, este colisiona contra el muro de hormigón y se queda parado en el carril derecho. Sin daños al patrimonio ni heridos.","['accidente', '1', 'vehiculo', 'salida', 'via', 'colisiona', 'muro', 'hormigon', 'queda', 'parado', 'carril', 'derecho', 'daños', 'patrimonio', 'heridos']"
48,Colisión de vehículos,Colisión de vehículos con herido leve dado de alta en el lugar y sin daños en carril izquierdo. Policía le pasa a arcén derecho. Corto parte de salida de ramal.,"['colision', 'vehiculos', 'herido', 'leve', 'alta', 'daños', 'carril', 'izquierdo', 'policia', 'pasa', 'arcen', 'derecho', 'corto', 'salida', 'ramal']"
49,Salida de vía,"Accidente de 1 vehículo por salida de vía, arrancando señal y farola, daños fuera de zona, se señaliza por seguridad. No hay ocupantes. El vigilante se retira y Policía Municipal se hace cargo de la incidencia.","['accidente', '1', 'vehiculo', 'salida', 'via', 'arrancando', 'señal', 'farola', 'daños', 'zona', 'señaliza', 'seguridad', 'ocupantes', 'vigilante', 'retira', 'policia', 'municipal', 'cargo', 'incidencia']"
50,Salida de vía,Accidente de 1 vehículo por salida de vía quedandose encima del muro de hormigón y ocupando el carril izquierdo. Se señaliza con Policía Municipal.,"['accidente', '1', 'vehiculo', 'salida', 'via', 'quedandose', 'muro', 'hormigon', 'ocupando', 'carril', 'izquierdo', 'señaliza', 'policia', 'municipal']"
51,Salida de vía,Accidente de 1 vehículo por salida de vía causando daños en barreras.,"['accidente', '1', 'vehiculo', 'salida', 'via', 'causando', 'daños', 'barreras']"
52,Salida de vía,Accidente de 1 vehículo por salida de vía.,"['accidente', '1', 'vehiculo', 'salida', 'via']"
53,Vuelco,"Accidente de 1 vehículo por vuelco en el carril izquierdo, se señaliza junto con Policía Municipal.","['accidente', '1', 'vehiculo', 'vuelco', 'carril', 'izquierdo', 'señaliza', 'policia', 'municipal']"
54,Salida de vía,Accidente de 1 vehículo por salida de vía. Sin daños al patrimonio.,"['accidente', '1', 'vehiculo', 'salida', 'via', 'daños', 'patrimonio']"
55,Colisión de vehículos,"Colisión de vehículos en carril central. No datos, al llegar al punto los vehículos están reanudando la marcha.","['colision', 'vehiculos', 'carril', 'central', 'datos', 'llegar', 'punto', 'vehiculos', 'reanudando', 'marcha']"
56,Salida de vía,"Accidente de 1 vehículo por salida de vía, impactando contra el bordillo del hastial derecho y dejandolo marcado.","['accidente', '1', 'vehiculo', 'salida', 'via', 'impactando', 'bordillo', 'hastial', 'derecho', 'dejandolo', 'marcado']"
57,Otros,"Accidente de 1 motorista por caida debido al agua en calzada al frenar, este fue trasladado por el Samur a la Clinica de Asepeyo antes de la llegada del vigilante.","['accidente', '1', 'motorista', 'caida', 'agua', 'calzada', 'frenar', 'trasladado', 'samur', 'clinica', 'asepeyo', 'llegada', 'vigilante']"
58,Salida de vía,"Slida de vía de vehículo, cuando llego está policía, 1 herido trasladado, corto carril izquierdo.","['slida', 'via', 'vehiculo', 'llego', 'policia', '1', 'herido', 'trasladado', 'corto', 'carril', 'izquierdo']"
59,Otros,sale por sus medios.,"['sale', 'medios']"
60,Colisión de vehículos,"Aviso del Centro de control accidente carril izquierdo, cortamos 2 carriles izquierdos, a mi llegada solo hay un vehículo.","['aviso', 'centro', 'control', 'accidente', 'carril', 'izquierdo', 'cortamos', '2', 'carriles', 'izquierdos', 'llegada', 'vehiculo']"
61,Colisión de vehículos,"Colisión de vehículos sin heridos, policía lo saca fuera de zona.","['colision', 'vehiculos', 'heridos', 'policia', 'saca', 'zona']"
62,Salida de vía,"Aviso del Centro de Contro de accidente , salida de vía, policía lo pasa al carril izquierdo.","['aviso', 'centro', 'contro', 'accidente', 'salida', 'via', 'policia', 'pasa', 'carril', 'izquierdo']"
63,Salida de vía,Salida de vía con heridos y daños a patrimonio. Corto carril izquierdo e izquierdo central. 5 heridos leves uno de ellos trasladado,"['salida', 'via', 'heridos', 'daños', 'patrimonio', 'corto', 'carril', 'izquierdo', 'izquierdo', 'central', '5', 'heridos', 'leves', 'trasladado']"
64,Salida de vía,"Aviso del Centro de Control, salida de vía, policía lo pasa al arcén derecho.","['aviso', 'centro', 'control', 'salida', 'via', 'policia', 'pasa', 'arcen', 'derecho']"
65,Salida de vía,"Aviso del centro de control accidente,salida de vía, se corta ramal, usuario no está.","['aviso', 'centro', 'control', 'accidentesalida', 'via', 'corta', 'ramal', 'usuario']"
66,Salida de vía,"Señalizar accidente carril central, se da contra muro, lo paso al carril derecho, recojo restos.","['señalizar', 'accidente', 'carril', 'central', 'muro', 'paso', 'carril', 'derecho', 'recojo', 'restos']"
67,Salida de vía,"Señalizo salida de vía sin heridos, daños al patrimonio,corto carril derecho, aviso a centro de control para que venga barredora, se queda conservación reparando.","['señalizo', 'salida', 'via', 'heridos', 'daños', 'patrimoniocorto', 'carril', 'derecho', 'aviso', 'centro', 'control', 'venga', 'barredora', 'queda', 'conservacion', 'reparando']"
68,Salida de vía,"Avisa centro de control de salida de vía, no hay nada lo ha sacado F-7.","['avisa', 'centro', 'control', 'salida', 'via', 'sacado', 'f7']"
69,Salida de vía,Vehículo se sale de vía colisionando contra muro izquierdo(no daños).,"['vehiculo', 'sale', 'via', 'colisionando', 'muro', 'izquierdono', 'daños']"
70,Salida de vía,"Encuentro coche contra la barrera, señalizo con policía. A mi llegada Samur no está.","['encuentro', 'coche', 'barrera', 'señalizo', 'policia', 'llegada', 'samur']"
71,Colisión de vehículos,Aviso centro de control de accidente por alcance entre 2 vehículos. Policía Municipal solicita Samur para atender a 1 herido leve que finalmente es dado de alta en el punto.,"['aviso', 'centro', 'control', 'accidente', 'alcance', '2', 'vehiculos', 'policia', 'municipal', 'solicita', 'samur', 'atender', '1', 'herido', 'leve', 'finalmente', 'alta', 'punto']"
72,Vuelco,"Aviso de accidente de 1 vehículo, se trata de un remolque volcado, este es recolocado y cargado en la Plataforma C-10 de Base Calderón para sacarlo al exterior. El Furgón del remolque se retira por sus medios. Sin heridos.","['aviso', 'accidente', '1', 'vehiculo', 'remolque', 'volcado', 'recolocado', 'cargado', 'plataforma', 'c10', 'base', 'calderon', 'sacarlo', 'exterior', 'furgon', 'remolque', 'retira', 'medios', 'heridos']"
73,Salida de vía,"Accidente de 1 motorista por salida de vía y caída en calzada, es atendido por el Samur y trasladado al Hospital 12 de octubre herido leve. La motocicleta es sacada por Policía Municipal fuera de límites. ","['accidente', '1', 'motorista', 'salida', 'via', 'caida', 'calzada', 'atendido', 'samur', 'trasladado', 'hospital', '12', 'octubre', 'herido', 'leve', 'motocicleta', 'sacada', 'policia', 'municipal', 'limites']"
74,Otros,Accidente de 1 motorista por caída cuando frena. Se señaliza en el arcén derecho hasta que dicho motorista se retira del punto por sus medios. ,"['accidente', '1', 'motorista', 'caida', 'frena', 'señaliza', 'arcen', 'derecho', 'motorista', 'retira', 'punto', 'medios']"
75,Salida de vía,Accidente de 1 vehículo por salida de via colisionando contra las barreras causando daños en ellas. Sin heridos.,"['accidente', '1', 'vehiculo', 'salida', 'via', 'colisionando', 'barreras', 'causando', 'daños', 'heridos']"
76,Colisión de vehículos,"Vehículo colisiona contra vehículo de señalización F63, en lateral izquierdo, dandose a la fuga no pudiendo coger datos","['vehiculo', 'colisiona', 'vehiculo', 'señalizacion', 'f63', 'lateral', 'izquierdo', 'dandose', 'fuga', 'pudiendo', 'coger', 'datos']"
77,Colisión de vehículos,"Aviso del centro de control de un accidente por alcance entre 3 vehículos, se corta parte del carril derecho. 2 heridos con pronostico reservado trasladados al Hospital 12 de Octubre.","['aviso', 'centro', 'control', 'accidente', 'alcance', '3', 'vehiculos', 'corta', 'carril', 'derecho', '2', 'heridos', 'pronostico', 'reservado', 'trasladados', 'hospital', '12', 'octubre']"
78,Salida de vía,"Accidente de 1 vehículo por salida de vía colisionando contra valla causado daños, sin heridos.","['accidente', '1', 'vehiculo', 'salida', 'via', 'colisionando', 'valla', 'causado', 'daños', 'heridos']"
79,Salida de vía,Accidente de 1 vehículo por salida ocupando el carril izquierdo después de colisionar contra el muro de hormigón. Sin daños al patrimonio. 1 herido leve dado de alta en el punto. Se señaliza la incidencia junto con Policía Municipal.,"['accidente', '1', 'vehiculo', 'salida', 'ocupando', 'carril', 'izquierdo', 'colisionar', 'muro', 'hormigon', 'daños', 'patrimonio', '1', 'herido', 'leve', 'alta', 'punto', 'señaliza', 'incidencia', 'policia', 'municipal']"
80,Colisión de vehículos,Accidente entre 3 vehículos por alcance que se encuentran ocupando el carril izquierdo y el derecho. 1 herido leve dado de alta en el punto por el Samur. El vigilante y la Guardia Civil trasladan todos los vehículos al carril derecho.,"['accidente', '3', 'vehiculos', 'alcance', 'encuentran', 'ocupando', 'carril', 'izquierdo', 'derecho', '1', 'herido', 'leve', 'alta', 'punto', 'samur', 'vigilante', 'guardia', 'civil', 'trasladan', 'vehiculos', 'carril', 'derecho']"
81,Colisión de vehículos,Accidente entre 3 vehículos por alcance. Sin daños al patrimonio ni heridos.,"['accidente', '3', 'vehiculos', 'alcance', 'daños', 'patrimonio', 'heridos']"
82,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo. Sin daños al patrimonio ni heridos. Uno de los vehículos se retira por sus medios y el otro es sacado por la Plataforma C-10 de Base Calderón.,"['accidente', '2', 'vehiculos', 'alcance', 'ocupando', 'carril', 'izquierdo', 'daños', 'patrimonio', 'heridos', 'vehiculos', 'retira', 'medios', 'sacado', 'plataforma', 'c10', 'base', 'calderon']"
83,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo. Sin daños al patrimonio ni heridos. Ambos vehículos son retirados del punto por sus grúas.,"['accidente', '2', 'vehiculos', 'alcance', 'ocupando', 'carril', 'izquierdo', 'daños', 'patrimonio', 'heridos', 'vehiculos', 'retirados', 'punto', 'gruas']"
84,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril derecho. 1 herido sin pronosticar trasladado al hospital por el Samur. Sin daños al patrimonio.,"['accidente', '2', 'vehiculos', 'alcance', 'ocupando', 'carril', 'derecho', '1', 'herido', 'pronosticar', 'trasladado', 'hospital', 'samur', 'daños', 'patrimonio']"
85,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el arcén derecho. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran del punto por sus medios.,"['accidente', '2', 'vehiculos', 'alcance', 'ocupando', 'arcen', 'derecho', 'heridos', 'daños', 'patrimonio', 'vehiculos', 'retiran', 'punto', 'medios']"
86,Colisión de vehículos,"Accidente de un motorista que impacta contra la parte trasera de un turismo en el carril izquierdo. El motorista fallece despues de que el Samur intentara reanimarle. Se persona en el punto: Jefe de Samur 8008, Policía Judicial, Jefe de Atestados, ITE, Jefe de Turno y el Coordinador de los AIAM.","['accidente', 'motorista', 'impacta', 'trasera', 'turismo', 'carril', 'izquierdo', 'motorista', 'fallece', 'samur', 'intentara', 'reanimarle', 'persona', 'punto', 'jefe', 'samur', '8008', 'policia', 'judicial', 'jefe', 'atestados', 'ite', 'jefe', 'turno', 'coordinador', 'aiam']"
87,Colisión de vehículos,"Accidente entre 3 vehículos por alcance, Policía Municipal los traslada a la isleta izquierda. Sin heridos ni daños al patrimonio. Dos de los vehículos implicados se retiran por sus medios y el Híbrido de los AIAM saca al exterior al tercer vehículo.","['accidente', '3', 'vehiculos', 'alcance', 'policia', 'municipal', 'traslada', 'isleta', 'izquierda', 'heridos', 'daños', 'patrimonio', 'vehiculos', 'implicados', 'retiran', 'medios', 'hibrido', 'aiam', 'saca', 'exterior', 'tercer', 'vehiculo']"
88,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, sin heridos ni daños al patrimonio. Se corta parte del carril derecho hasta que ambos vehículos se retiran del punto por sus medios.","['accidente', '2', 'vehiculos', 'alcance', 'heridos', 'daños', 'patrimonio', 'corta', 'carril', 'derecho', 'vehiculos', 'retiran', 'punto', 'medios']"
89,Colisión de vehículos,Colisión por alcance con heridos. Se corta carril izquierdo hasta que SAMUR atienda a usuaria de vehículo 1 (leve) y traslada al Hospital (no sabemos a cual). Ambos vehículos salen con la grúa propia,"['colision', 'alcance', 'heridos', 'corta', 'carril', 'izquierdo', 'samur', 'atienda', 'usuaria', 'vehiculo', '1', 'leve', 'traslada', 'hospital', 'vehiculos', 'salen', 'grua']"
90,Colisión de vehículos,"Colisión de vehñiculos sin heridos ni daños. A mi llegada el vehículo está con Policía en carril derecho con solo 1 vehículo, el otro abandona por sus medios. Corto carril derecho hasta retirada en grúa propia. ","['colision', 'vehñiculos', 'heridos', 'daños', 'llegada', 'vehiculo', 'policia', 'carril', 'derecho', '1', 'vehiculo', 'abandona', 'medios', 'corto', 'carril', 'derecho', 'retirada', 'grua']"
91,Colisión de vehículos,Señalizar vehículos en carril central y después en arcén derecho. Herido leve trasladado al Hospital,"['señalizar', 'vehiculos', 'carril', 'central', 'arcen', 'derecho', 'herido', 'leve', 'trasladado', 'hospital']"
